Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-VÃ¤isÃ¤lÃ¤ frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Grímsvötn,64.416,-17.316,2004 C,,11/2/2004 1:27,1400,8,1.5,3.24E+10,1.20E+10,18,1,,,0.011542139,26.61160375,0.005487689,274.0600216,840.3321769,95.90328053,0.004654504,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report. Duration is based on seismic, plume height and visual: we assume 1h uncertainty"
Grímsvötn,,,2004 E,,11/2/2004 21:03,1400,7.4,1.5,1.22E+10,4.00E+09,13,1,,,0.011670854,23.61706097,0.005563558,273.0705094,835.5044311,98.23064119,0.00444602,"Oddsson et al (2012), Jude-Eton et al (2012)","The uncertainty on erupted mass seems low given in Jude-Eton et al (2012) seems low given that the deposit was sampled  more than a year after the eruption, and that part of the deposit may be from pyroclastic density currents. We arbitrarly double the uncertainty they report."
Grímsvötn,,,2011,S,5/21/2011 19:00,1450,10,2,7.30E+11,1.90E+11,64,16,,,0.014603595,6.59153706,0.000790481,266.8687344,836.9620966,77.99171251,0.002216665,"Global Volcanism Program (2011), Petersen et al (2012), Marzano et al (2013), Hreinsdottir et al (2014)",
Hekla,63.983,-19.666,Mar-47,,3/29/1947 6:51,1447,19,8,1.80E+11,9.00E+10,3,2,,,0.017972427,18.55902341,0.001934136,261.3419627,845.6620624,92.64540774,0.001692348,"Thorarinson (1950), Bonadonna and Houghton (2005)","Deposit density could not be found for this eruption, and was assumed similar to the one of later eruptions with an uncertainty of 30%."
Hekla,,,May-70,,5/5/1970 22:10,630,12.5,3.5,4.50E+10,2.20E+10,2.33,0.5,4,2,0.016102511,20.87559995,0.002745348,273.5143817,929.4605563,80.70730665,0.003376856,"Thorarinsson and Sigvaldason (1972), Baldridge et al (1973)",We assumed 50% uncertainty on erupted mass
Hekla,,,Aug-80,D,8/17/1980 13:27,1490,10,5,4.20E+10,2.10E+10,4,2,,,0.012745804,10.81921178,0.002159861,273.236714,846.9509501,74.06935209,0.003333033,"Gronvold et al (1983),",We assumed 50% uncertainty on erupted mass
Hekla,,,Jan-91,,1/17/1991 17:00,1050,11,3,1.30E+10,6.00E+09,2,1,1.2,0.4,0.016059069,18.79448962,0.002934288,267.8257402,866.1443265,83.41220226,0.002478809,"Gudmundson et al (1992), Sulpizio (2005),  Lucic et al (2016)",We assumed 50% uncertainty on erupted mass. We found only two estimates (from Gudmundson et al 1992) for plume height (one from satelite and one from an airplane); we assumed an uncertainty of 3km on plume height despite there is only a 0.5km difference between these two estimate.
Hekla,,,Feb-00,,2/26/2000 18:19,1490,10,3,7.00E+09,3.50E+09,3.66,0.5,2.4,0.7,0.012922758,12.52806677,0.002529761,263.2357462,810.6642016,73.57024025,0.001639343,"Rose et al (2003), Moune et al (2007)",We assumed 50% uncertainty on erupted mass
Mt Hudson,-45.9,-72.97,Aug-91,S,8/12/1992 16:00,1905,12.5,3,6.50E+12,1.80E+12,58,3,2,1,0.014493275,30.04910042,0.004013764,271.0604544,797.8218433,83.46163086,0.003532036,"Scasso et al (1994), Bonadonna and Houghton (2005), Kratzmann et al (2009), Kratzmann et al (2010), personnal communication with David Kratzmann (November 2016)",We assumed a 3 hr uncertainty on the eruption duration
Kasatochi,52.177,-175.08,Aug-08,,8/8/2008 4:35,300,10.7,3,2.40E+11,1.00E+11,15,4,6,0.9,0.011492727,13.16377144,0.002414494,283.2975165,978.0498716,98.35541219,0.007816182,"Izbekov et al (2009), Waythomas et al (2010), Corradini et al (2010), Bitar et al (2010)",Waythomas et al (2010) report volume estimate but not the bulk density of the deposit. We assumed a density of 1100km/m3 with a 30% uncertainty.
Kelut,-7.93,112.308,1990,,2/10/1990 4:41,1731,10.3,2,8.00E+10,4.00E+10,4.5,1,,,0.011286522,5.297479968,0.000697097,289.9399855,830.5359787,67.88781492,0.009777109,"Global Volcanism Program (1990), Bourdier et al (1997)",We assumed 50% uncertainty on erupted mass
Kelut,,,2014,,2/13/2014 15:50,1731,17,3,4.90E+11,1.60E+11,2.75,0.75,1.5,0.8,0.011711774,14.13214995,0.001601897,289.7379091,828.6376218,72.75526326,0.010517829,"Suzuki et al (2014), Cassidy et al (2015), Caudron et al (2015), Kristiansen et al (2015), Vernier et al (2016), Kylling (2016), personnal communication with Fukashi Maeno (July 2016)",
Merapi,-7.542,110.442,2010,,11/4/2010 17:05,2968,14.5,2,3.70E+10,1.90E+10,30,6,5,1,0.010557118,6.340490312,0.000792861,283.3301606,714.8291282,85.87381929,0.009261772,"Global Volcanism Program (2011), Surano et al (2012), Costa et al (2013), Solikin et al (2015) Shibata and Kinoshita (2016)",
Miyakejima,34.094,139.526,Aug-00,D,8/9/2000,775,8,1.5,1.20E+09,6.00E+08,4,2,2.2,1.2,0.011136753,5.262379142,0.001159897,295.2901739,926.6468155,69.41844532,0.012503702,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
Miyakejima,,,,,8/18/2000 8:05,775,16,2,1.10E+10,5.00E+09,3.5,0.5,2.2,1.2,0.01170625,8.249606527,0.001020446,295.0989905,921.5616596,84.4908219,0.015104338,"Nakada et al (2005), Geshi and Oikawa (2008), Saito et al (2010)",We assumed 50% uncertainty on erupted mass
Mt St Helens,46.2,-122.18,1980,,5/18/1980 18:30,2550,15.5,4,6.00E+11,2.00E+11,9,0.5,1.7,0.6,0.016027033,16.4437028,0.001568036,276.4098947,747.9604322,31.22281365,0.001975807,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Bonadonna and Costa (2012), Underwood et al (2013)",The beginning of the eruption is a lateral blast and this event could thus be regarded with care when testing model of volcanic plume with vertical injection. The vent height taken is the one after the eruption as most of the summit was likely blown during the lateral blast phase.
Mt St Helens,,,,,5/25/1980 10:30,2550,4,1.5,5.80E+10,1.60E+10,19.5,3,1.7,0.6,0.013234073,7.644023373,0.002688167,270.5668127,739.4021486,83.74995909,0.003640504,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)",
Mt St Helens,,,,,6/13/1980 5:11,2550,7.5,4,5.85E+10,1.35E+10,3.5,0.25,1.8,0.2,0.010038136,11.13554891,0.002677207,273.6922739,747.2531091,80.76047374,0.004153153,"Global Volcanism Bulletin (1980), Christiansen et al (1981), Harris et al (1981), Sarna-Wojciki et al (1981), Pyle (1989),Holasek and Self (1995), Bonadonna and Houghton (2005),   U.S.G.S (2005), Underwood et al (2013)",The erupted mass estimate of Sarna-Wojciki et al (1981)  is a minimum estimate because of compaction and the absence of extrapolation. We assume that the actual erupted mass is 30% larger based on differences between  Sarna-Wojciki et al (1981) and Pyle (1989)/Bonadonna and Houghton (2005) for the earlier phases if this eruption. Uncertainty is taken so that the lower bound is the estimate by Sarna-Wojciki et al (1981).
