Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-VÃ¤isÃ¤lÃ¤ frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Reventador,-0.077,-77.656,Nov-02,S,11/3/2002 12:15,3562,12.5,4,1.35E+11,3.00E+10,1.75,1,5,1,0.010657248,4.61383367,0.000658305,279.4503705,666.4353335,92.50525073,0.008203396,"Global Volcanism Program (2002), Hall et all (2004), Moxey (2005), Samaniego et al (2008),  Ridolfi et al (2008), personnal communication with Jean-Luc Le Pennec (November 2016)",Jean-Luc Le Pennec reported an erupted mass of 1.2-1.5 1011 kg (personnal communication). This range would result in a very small uncertainty and is not based on peer-reviewed results: we arbitrarly doubled the uncertainty.
Santa Maria,14.756,-91.552,1902,,10/25/2002 7:00,3772,24,11,4.40E+13,2.20E+13,19,3,3.7,,0.019309398,5.047264471,0.000373426,278.1115949,647.1025554,63.21341367,0.005273127,"Williams and Self (1983), Pyle (1989), Bonadonna and Houghton (2005), Sadofsky et al (2008)","We could only find one report of plume height, from visual observation, which we take as our estimate of the average plume height. There are many evidence that this eruption injected large quantities of sulfur gases in the stratosphere and we thus choose the uncertainty so that the lower bound on plume height is the height of the tropopause."
Sarychev Peak,48.092,153.2,,,6/12/2009 2:00,1450,8.5,3,3.00E+11,1.50E+11,72,6,,,0.011506505,4.603633398,0.000712198,277.0492239,852.8045133,62.8548317,0.003536785,"Rybin et al (2011), Carn and Lopez (2011), Rybin et al (2012), personnal communication with Peter Webley (January 2016)",We could only find volume estimate and assumed a bulk deposit density of 1000kg/m3 with an uncertainty of 30%
Shinmoedake,31.934,130.862,,,1/26/2011 7:10,1421,5.8,1.3,1.14E+10,2.90E+09,3.25,0.75,4.4,2,0.013971816,32.60073959,0.01033998,268.7839855,861.9839754,30.07103412,0.000918388,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
Shinmoedake,,,,W,1/26/2011 12:45,1421,3.4,1.3,3.55E+09,8.90E+08,4.5,1,4.4,2,0.014263311,21.53515388,0.010955168,270.6614479,862.9521529,10.16464386,0.000337855,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
Shinmoedake,,,,,1/26/2011 17:20,1421,6.1,1,1.50E+10,3.80E+09,2.75,0.25,4.4,2,0.01378384,29.46769015,0.008944685,271.0891777,862.9824696,8.892053547,0.000272875,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
Shinmoedake,,,,,1/27/2011 7:20,1421,6,1,8.50E+09,2.10E+09,2,0.3,4.4,2,0.01390503,27.34710834,0.008495612,271.4742051,863.1237475,16.87254573,0.000585097,"Hashimoto et al (2012), Konzono et al (2013), Nakada et al (2013), Suzuki et al (2013), Maeno et al (2014), Marchese et al (2014)",
Shishaldin,54.756,-163.67,,,4/19/1999 20:15,2857,9,4,3.64E+10,1.50E+10,1.33,0.3333,1.5,0.5,0.016245543,7.435527354,0.001116347,259.9270724,697.5156768,44.8405998,0.00089569,"Global Volcanism Program (1999), Stelling et al (2002), Nye et al (2002)",
Mt Spur,61.299,-152.251,1992,,6/27/1992 15:04,2309,10.7,3,3.12E+10,1.50E+10,4,0.33,,,0.012189894,19.17307264,0.002903386,273.5092026,762.096934,88.74428137,0.004507046,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
Mt Spur,,,,S,8/19/1992 0:42,2309,11.7,3,3.64E+10,1.80E+10,3.5,0.33,,,0.012848525,16.03870727,0.002376895,272.202723,772.8322527,65.32843375,0.002650926,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
Mt Spur,,,,,9/17/1992 8:03,2309,11.7,2,3.90E+10,1.90E+10,3.66,0.33,,,0.013499507,25.43036262,0.00379014,266.9519189,757.3125463,68.64784503,0.002136276,"Neal et al (1995), Eichelberg et al (1995),  Gardner et al (1998), Krotkov et al (1999), McGimsey et al (2001),Mankowski et al (2001)",We assumed 50% uncertainty on erupted mass
Tungurahua,-1.467,-78.442,Aug-01,,8/4/2001 0:00,5023,3,1,6.00E+09,3.00E+09,408,24,,,0.011977468,6.112511333,0.002490257,272.6324735,555.6725598,61.60758016,0.00399664,"Le Pennec et al (2002), Le Pennec et al (2012)",The eruption style is strombolian style but ash emissions are described as continuous so that we did not discard this eruptive phase from the database.
Tungurahua,,,2006,,8/17/2006 2:13,5023,14.5,3,2.49E+10,6.20E+09,2.5,1.5,1.9,1.5,0.013687743,4.795081233,0.000377859,271.0177731,555.7405955,78.31975101,0.004523159,"Steffke et al (2010), Eychenne et all (2012), Hall et al (2013), Myers et al (2014), Bernard et al (2016)",
Tungurahua,,,2013,,7/14/2013 11:47,5023,6.7,1.7,6.70E+08,5.00E+07,1.25,0.25,2.5,1.6,0.009882003,7.81305022,0.00187154,272.1904251,555.6408604,61.94067576,0.003858157,"Myers et al (2014), Parra et al (2016)",
Villareca,-39.42,-71.93,Mar-15,S,3/3/2015 6:07,2847,7,1.5,4.46E+09,1.40E+09,0.666,0.25,,,0.010863776,16.36940472,0.004360266,276.2326897,721.4867268,63.28985902,0.004187251,"Sernageomin (2015), Romero et al (2016)",
